Year,County,Median_income
2000,Ascension Parish,68231.71764227642
2001,Ascension Parish,65664.34027667984
2002,Ascension Parish,66485.22264591439
2003,Ascension Parish,67458.24320108695
2004,Ascension Parish,66845.57903123344
2005,Ascension Parish,64192.54910394265
2006,Ascension Parish,69371.87503472222
2007,Ascension Parish,70799.74110406959
2008,Ascension Parish,73741.47501428219
2009,Ascension Parish,73582.53795382613
2010,Ascension Parish,73669.79105826025
2011,Ascension Parish,72837.65978776469
2012,Ascension Parish,73577.06552000488
2013,Ascension Parish,78105.357353503
2014,Ascension Parish,73574.4520858678
2015,Ascension Parish,81734.7319896885
2016,Ascension Parish,80026.34061506539
2017,Ascension Parish,76184.10939131853
2018,Ascension Parish,80143.626971769
2019,Ascension Parish,84096.84613368692
2020,Ascension Parish,88680.0
2000,Caddo Parish,48493.24573170731
2001,Caddo Parish,46089.10964426877
2002,Caddo Parish,44935.862062256805
2003,Caddo Parish,45927.69984782609
2004,Caddo Parish,45473.462625727894
2005,Caddo Parish,44530.599247311824
2006,Caddo Parish,42350.77420138889
2007,Caddo Parish,44370.91673177647
2008,Caddo Parish,43908.30316809334
2009,Caddo Parish,45956.66502747778
2010,Caddo Parish,44792.476836225556
2011,Caddo Parish,45963.491559934024
2012,Caddo Parish,45603.10376142233
2013,Caddo Parish,44190.41426529359
2014,Caddo Parish,43524.36271627467
2015,Caddo Parish,44858.44766831071
2016,Caddo Parish,41423.649118567366
2017,Caddo Parish,39738.1315110966
2018,Caddo Parish,41708.53356139016
2019,Caddo Parish,46175.72037143516
2020,Caddo Parish,43216.0
2000,East Baton Rouge Parish,57027.09508130082
2001,East Baton Rouge Parish,54341.541699604735
2002,East Baton Rouge Parish,53052.65840466926
2003,East Baton Rouge Parish,52461.27101630434
2004,East Baton Rouge Parish,51052.490640550546
2005,East Baton Rouge Parish,52558.6434767025
2006,East Baton Rouge Parish,55898.554375
2007,East Baton Rouge Parish,52641.70454128926
2008,East Baton Rouge Parish,55972.357993153826
2009,East Baton Rouge Parish,53948.866256170266
2010,East Baton Rouge Parish,53304.93460854091
2011,East Baton Rouge Parish,52839.37584856338
2012,East Baton Rouge Parish,53419.490400446
2013,East Baton Rouge Parish,53071.6032143271
2014,East Baton Rouge Parish,51197.8657280684
2015,East Baton Rouge Parish,55022.329533324606
2016,East Baton Rouge Parish,54403.72056231692
2017,East Baton Rouge Parish,57537.72288674935
2018,East Baton Rouge Parish,54569.3604519189
2019,East Baton Rouge Parish,56997.60121177984
2020,East Baton Rouge Parish,57099.0
2000,East Feliciana Parish,47053.40288617886
2001,East Feliciana Parish,44360.29308300395
2002,East Feliciana Parish,44197.8407003891
2003,East Feliciana Parish,44089.29779891304
2004,East Feliciana Parish,43836.19875595553
2005,East Feliciana Parish,47397.000645161286
2006,East Feliciana Parish,44425.370312499996
2007,East Feliciana Parish,44886.4367084334
2008,East Feliciana Parish,47174.349098712046
2009,East Feliciana Parish,46874.71259503023
2010,East Feliciana Parish,50261.71908592288
2011,East Feliciana Parish,44272.13448090371
2012,East Feliciana Parish,47988.37548455098
2013,East Feliciana Parish,46192.403568040456
2014,East Feliciana Parish,45534.84455680589
2015,East Feliciana Parish,47068.55691785821
2016,East Feliciana Parish,49789.47069043819
2017,East Feliciana Parish,48399.30413266971
2018,East Feliciana Parish,46559.94501945385
2019,East Feliciana Parish,50658.34790754799
2020,East Feliciana Parish,52158.0
2000,Iberville Parish,44892.135650406504
2001,Iberville Parish,42378.657193675885
2002,Iberville Parish,42061.463073929954
2003,Iberville Parish,42535.0252173913
2004,Iberville Parish,42113.98897829539
2005,Iberville Parish,42879.40362007168
2006,Iberville Parish,41409.76
2007,Iberville Parish,46787.494636880125
2008,Iberville Parish,46486.76048173968
2009,Iberville Parish,46690.137985522306
2010,Iberville Parish,47642.22740947279
2011,Iberville Parish,43528.857832567934
2012,Iberville Parish,44419.48594039914
2013,Iberville Parish,44938.10505372236
2014,Iberville Parish,51794.77877044472
2015,Iberville Parish,45861.95083053115
2016,Iberville Parish,44944.454407579775
2017,Iberville Parish,46890.48837304177
2018,Iberville Parish,49387.10066624984
2019,Iberville Parish,55878.969001435515
2020,Iberville Parish,36990.0
2000,Jefferson Parish,56654.35914634146
2001,Jefferson Parish,54218.78549407114
2002,Jefferson Parish,53685.659182879375
2003,Jefferson Parish,53558.40460326086
2004,Jefferson Parish,52384.22326098464
2005,Jefferson Parish,55031.46132616487
2006,Jefferson Parish,56715.04145833333
2007,Jefferson Parish,59123.77533736531
2008,Jefferson Parish,56575.8011500072
2009,Jefferson Parish,56009.346210676944
2010,Jefferson Parish,55190.92113952378
2011,Jefferson Parish,50280.479152125685
2012,Jefferson Parish,51307.0144036865
2013,Jefferson Parish,51712.872405637085
2014,Jefferson Parish,51408.86246282779
2015,Jefferson Parish,54054.86076104245
2016,Jefferson Parish,53573.39282187603
2017,Jefferson Parish,54335.31686928851
2018,Jefferson Parish,52431.72982433783
2019,Jefferson Parish,56598.74049605525
2020,Jefferson Parish,58586.0
2000,Livingston Parish,60535.02117886179
2001,Livingston Parish,57501.05260869565
2002,Livingston Parish,57847.639299610884
2003,Livingston Parish,59084.863402173905
2004,Livingston Parish,58193.427284277386
2005,Livingston Parish,59610.01741935483
2006,Livingston Parish,56537.879166666666
2007,Livingston Parish,66479.60880574123
2008,Livingston Parish,63995.026576499164
2009,Livingston Parish,62666.095852929786
2010,Livingston Parish,63054.143774993565
2011,Livingston Parish,61786.309621719665
2012,Livingston Parish,59592.339150848886
2013,Livingston Parish,59013.1341749765
2014,Livingston Parish,64302.621477088396
2015,Livingston Parish,64178.34043127707
2016,Livingston Parish,62887.0820351073
2017,Livingston Parish,64720.699522682764
2018,Livingston Parish,65023.5491961594
2019,Livingston Parish,64639.73203158919
2020,Livingston Parish,61680.0
2000,Orleans Parish,41764.46032520325
2001,Orleans Parish,39229.37596837944
2002,Orleans Parish,38427.46315175097
2003,Orleans Parish,38650.04705434782
2004,Orleans Parish,37478.956617257805
2005,Orleans Parish,40042.15655913978
2006,Orleans Parish,42843.74753472221
2007,Orleans Parish,46618.98326436515
2008,Orleans Parish,44533.38372897729
2009,Orleans Parish,42516.09779665046
2010,Orleans Parish,43351.57837894852
2011,Orleans Parish,40098.96976958197
2012,Orleans Parish,38268.05503628144
2013,Orleans Parish,40261.98242594126
2014,Orleans Parish,38775.29631319275
2015,Orleans Parish,42192.994764088646
2016,Orleans Parish,41427.962509426805
2017,Orleans Parish,39496.34088201697
2018,Orleans Parish,40047.07716232522
2019,Orleans Parish,45648.29287678412
2020,Orleans Parish,51704.0
2000,Plaquemines Parish,56068.20182926829
2001,Plaquemines Parish,53344.87822134387
2002,Plaquemines Parish,53121.71303501945
2003,Plaquemines Parish,53932.55528804347
2004,Plaquemines Parish,54259.88371095817
2005,Plaquemines Parish,54635.22738351254
2006,Plaquemines Parish,55800.98673611111
2007,Plaquemines Parish,56040.641336535766
2008,Plaquemines Parish,61243.47003060803
2009,Plaquemines Parish,60866.1918177284
2010,Plaquemines Parish,59085.145059067385
2011,Plaquemines Parish,60128.31945105117
2012,Plaquemines Parish,56322.17219962194
2013,Plaquemines Parish,57000.035053679436
2014,Plaquemines Parish,56087.9610367667
2015,Plaquemines Parish,53638.827349936924
2016,Plaquemines Parish,60333.55464632281
2017,Plaquemines Parish,59337.95442640339
2018,Plaquemines Parish,60442.17593695118
2019,Plaquemines Parish,61545.01830577687
2020,Plaquemines Parish,55861.0
2000,Pointe Coupee Parish,47606.49491869919
2001,Pointe Coupee Parish,45302.885375494065
2002,Pointe Coupee Parish,44321.56357976653
2003,Pointe Coupee Parish,44850.25840217391
2004,Pointe Coupee Parish,44193.79362625728
2005,Pointe Coupee Parish,43882.57784946236
2006,Pointe Coupee Parish,44135.23496527778
2007,Pointe Coupee Parish,47596.349224952
2008,Pointe Coupee Parish,47336.62962894153
2009,Pointe Coupee Parish,46980.87315474719
2010,Pointe Coupee Parish,48991.73444894889
2011,Pointe Coupee Parish,46083.1521968178
2012,Pointe Coupee Parish,46652.57822939623
2013,Pointe Coupee Parish,46804.554570156724
2014,Pointe Coupee Parish,48615.615533759126
2015,Pointe Coupee Parish,46865.45399275157
2016,Pointe Coupee Parish,45878.30352864708
2017,Pointe Coupee Parish,48226.144031494776
2018,Pointe Coupee Parish,48032.78695137929
2019,Pointe Coupee Parish,48603.30411840864
2020,Pointe Coupee Parish,49583.0
2000,St. Bernard Parish,53672.471666666665
2001,St. Bernard Parish,51373.47201581027
2002,St. Bernard Parish,50568.130350194544
2003,St. Bernard Parish,50929.50373913043
2004,St. Bernard Parish,50098.90431974589
2005,St. Bernard Parish,49973.18387096773
2006,St. Bernard Parish,47981.453993055555
2007,St. Bernard Parish,41307.75444917093
2008,St. Bernard Parish,47008.46233447746
2009,St. Bernard Parish,44225.52408209306
2010,St. Bernard Parish,45933.089206442375
2011,St. Bernard Parish,43800.39543165036
2012,St. Bernard Parish,46104.73226652264
2013,St. Bernard Parish,45222.5164086076
2014,St. Bernard Parish,49868.47697435117
2015,St. Bernard Parish,45359.6532738158
2016,St. Bernard Parish,42540.817351160586
2017,St. Bernard Parish,47041.47553443211
2018,St. Bernard Parish,45332.404962824614
2019,St. Bernard Parish,46371.10138192969
2020,St. Bernard Parish,50790.0
2000,St. Charles Parish,68814.86902439024
2001,St. Charles Parish,65392.52296442688
2002,St. Charles Parish,64469.69062256808
2003,St. Charles Parish,63988.20658695651
2004,St. Charles Parish,63036.71412916886
2005,St. Charles Parish,64639.140537634405
2006,St. Charles Parish,66215.04840277777
2007,St. Charles Parish,68650.28493021191
2008,St. Charles Parish,68381.4092047022
2009,St. Charles Parish,68605.0553470963
2010,St. Charles Parish,64749.0391596654
2011,St. Charles Parish,63120.98595619256
2012,St. Charles Parish,62770.07118652926
2013,St. Charles Parish,62396.07392351377
2014,St. Charles Parish,66415.86856667342
2015,St. Charles Parish,67265.28650265592
2016,St. Charles Parish,69814.38775535712
2017,St. Charles Parish,68984.2390869778
2018,St. Charles Parish,69658.5178230794
2019,St. Charles Parish,72462.05880926397
2020,St. Charles Parish,69889.0
2000,St. Helena Parish,40052.58036585366
2001,St. Helena Parish,38967.788339920946
2002,St. Helena Parish,39297.83922178988
2003,St. Helena Parish,40827.435249999995
2004,St. Helena Parish,40479.46529910005
2005,St. Helena Parish,38367.10738351254
2006,St. Helena Parish,37727.86541666667
2007,St. Helena Parish,40084.48670795111
2008,St. Helena Parish,39758.72990622518
2009,St. Helena Parish,38620.729077035656
2010,St. Helena Parish,39091.78878820119
2011,St. Helena Parish,38798.81092651785
2012,St. Helena Parish,38190.27443661419
2013,St. Helena Parish,38027.79791549513
2014,St. Helena Parish,38268.029551905915
2015,St. Helena Parish,39967.59819759764
2016,St. Helena Parish,38301.832484052546
2017,St. Helena Parish,38774.13655760444
2018,St. Helena Parish,39886.2910591899
2019,St. Helena Parish,43911.1228560141
2020,St. Helena Parish,40709.0
2000,St. James Parish,53302.74166666666
2001,St. James Parish,50403.11343873517
2002,St. James Parish,50014.25466926069
2003,St. James Parish,51133.458059782606
2004,St. James Parish,50618.170434092106
2005,St. James Parish,52377.09146953405
2006,St. James Parish,51522.132256944446
2007,St. James Parish,55165.6304318469
2008,St. James Parish,54457.73971101192
2009,St. James Parish,56426.75022956413
2010,St. James Parish,54394.510212972804
2011,St. James Parish,50281.629735172646
2012,St. James Parish,52559.39478383581
2013,St. James Parish,53724.86054507914
2014,St. James Parish,51904.10350348067
2015,St. James Parish,57063.18634528324
2016,St. James Parish,51626.97519655676
2017,St. James Parish,56007.790041612265
2018,St. James Parish,55556.75203399347
2019,St. James Parish,57956.28420109755
2020,St. James Parish,58309.0
2000,St. John the Baptist Parish,58125.76430894309
2001,St. John the Baptist Parish,55237.36972332015
2002,St. John the Baptist Parish,54502.80564202334
2003,St. John the Baptist Parish,54904.50311956521
2004,St. John the Baptist Parish,54031.0777977766
2005,St. John the Baptist Parish,55410.46770609318
2006,St. John the Baptist Parish,57457.06902777777
2007,St. John the Baptist Parish,54612.66348351997
2008,St. John the Baptist Parish,59532.91303418902
2009,St. John the Baptist Parish,55951.440450831324
2010,St. John the Baptist Parish,54582.040654694196
2011,St. John the Baptist Parish,58084.883959651284
2012,St. John the Baptist Parish,53332.691760237634
2013,St. John the Baptist Parish,52648.31912756431
2014,St. John the Baptist Parish,51628.60517623006
2015,St. John the Baptist Parish,55248.36343384651
2016,St. John the Baptist Parish,56253.08689329894
2017,St. John the Baptist Parish,59065.544023335504
2018,St. John the Baptist Parish,52389.47193825739
2019,St. John the Baptist Parish,55621.835443582604
2020,St. John the Baptist Parish,56697.0
2000,St. Tammany Parish,75713.48975609757
2001,St. Tammany Parish,72212.79928853754
2002,St. Tammany Parish,72528.94143968872
2003,St. Tammany Parish,72088.70957065216
2004,St. Tammany Parish,69994.05800423503
2005,St. Tammany Parish,71102.12695340501
2006,St. Tammany Parish,72469.64756944444
2007,St. Tammany Parish,73509.65362058819
2008,St. Tammany Parish,68673.5141591153
2009,St. Tammany Parish,71016.58897066706
2010,St. Tammany Parish,70488.89495817586
2011,St. Tammany Parish,66381.7383112755
2012,St. Tammany Parish,65812.53261409269
2013,St. Tammany Parish,68497.58627128611
2014,St. Tammany Parish,69356.70388534063
2015,St. Tammany Parish,69337.80989971184
2016,St. Tammany Parish,71021.05884828359
2017,St. Tammany Parish,71719.95751468667
2018,St. Tammany Parish,69111.22666433034
2019,St. Tammany Parish,72408.40495664111
2020,St. Tammany Parish,67462.0
2000,Tangipahoa Parish,44085.04211382114
2001,Tangipahoa Parish,41463.83118577075
2002,Tangipahoa Parish,41265.89618677042
2003,Tangipahoa Parish,42267.77472826087
2004,Tangipahoa Parish,42178.383456855474
2005,Tangipahoa Parish,43901.13060931899
2006,Tangipahoa Parish,42276.314687499995
2007,Tangipahoa Parish,42604.66790134174
2008,Tangipahoa Parish,47607.09717932402
2009,Tangipahoa Parish,44922.80594023408
2010,Tangipahoa Parish,44454.20990020911
2011,Tangipahoa Parish,44205.400664180066
2012,Tangipahoa Parish,41227.09958883943
2013,Tangipahoa Parish,44692.57806376284
2014,Tangipahoa Parish,43650.086159266015
2015,Tangipahoa Parish,45608.61814975297
2016,Tangipahoa Parish,48121.26677555237
2017,Tangipahoa Parish,46727.8868146214
2018,Tangipahoa Parish,48573.89402923852
2019,Tangipahoa Parish,48450.44125527562
2020,Tangipahoa Parish,47272.0
2000,Washington Parish,37652.34130081301
2001,Washington Parish,35540.8442687747
2002,Washington Parish,34800.65642023346
2003,Washington Parish,35382.55817934782
2004,Washington Parish,35160.75538909475
2005,Washington Parish,36156.678566308234
2006,Washington Parish,34377.18729166667
2007,Washington Parish,37646.68885223447
2008,Washington Parish,36933.84660223035
2009,Washington Parish,36104.24126374471
2010,Washington Parish,36734.60234985508
2011,Washington Parish,33876.61665162555
2012,Washington Parish,34929.12552592838
2013,Washington Parish,35140.35607429697
2014,Washington Parish,32523.01483086645
2015,Washington Parish,36529.04383651805
2016,Washington Parish,36922.625756748756
2017,Washington Parish,39902.84477806788
2018,Washington Parish,37980.56346497708
2019,Washington Parish,35943.01957309989
2020,Washington Parish,38604.0
2000,West Baton Rouge Parish,56472.50008130081
2001,West Baton Rouge Parish,53756.98833992095
2002,West Baton Rouge Parish,52446.99175097276
2003,West Baton Rouge Parish,51618.72868478261
2004,West Baton Rouge Parish,50857.93710958178
2005,West Baton Rouge Parish,52070.97093189964
2006,West Baton Rouge Parish,52015.10559027777
2007,West Baton Rouge Parish,53698.95737477211
2008,West Baton Rouge Parish,54306.27788279772
2009,West Baton Rouge Parish,54488.113644732606
2010,West Baton Rouge Parish,55526.81427248046
2011,West Baton Rouge Parish,53105.160532411006
2012,West Baton Rouge Parish,53320.29195449359
2013,West Baton Rouge Parish,54269.24165403915
2014,West Baton Rouge Parish,56356.89988003514
2015,West Baton Rouge Parish,60138.12095334933
2016,West Baton Rouge Parish,58720.34646489476
2017,West Baton Rouge Parish,68547.11541693863
2018,West Baton Rouge Parish,59990.738031994326
2019,West Baton Rouge Parish,66150.13859976451
2020,West Baton Rouge Parish,62919.0
2000,West Feliciana Parish,58283.575894308946
2001,West Feliciana Parish,54755.11320158102
2002,West Feliciana Parish,53282.84050583657
2003,West Feliciana Parish,52210.89950543478
2004,West Feliciana Parish,51064.82149814716
2005,West Feliciana Parish,54476.203727598564
2006,West Feliciana Parish,56901.19024305556
2007,West Feliciana Parish,59558.16020873725
2008,West Feliciana Parish,60218.09749515798
2009,West Feliciana Parish,60241.29215939441
2010,West Feliciana Parish,58059.66213724914
2011,West Feliciana Parish,56929.698580504046
2012,West Feliciana Parish,57266.81194630521
2013,West Feliciana Parish,58466.53110230643
2014,West Feliciana Parish,58684.423446370645
2015,West Feliciana Parish,61891.79459701203
2016,West Feliciana Parish,60882.43363318569
2017,West Feliciana Parish,59744.4583224543
2018,West Feliciana Parish,62145.89022209655
2019,West Feliciana Parish,66101.54643135137
2020,West Feliciana Parish,58499.0
